pi,trace(a),trace(g)
"tensor(506.1782, device='cuda:0')","tensor(8376.2979, device='cuda:0')","tensor(0.0108, device='cuda:0')"
"tensor(9345.1318, device='cuda:0')","tensor(198705.2656, device='cuda:0')","tensor(0.0038, device='cuda:0')"
"tensor(966.9739, device='cuda:0')","tensor(74934.1250, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(11347.7451, device='cuda:0')","tensor(698006.1250, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(13.1066, device='cuda:0')","tensor(938.6915, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(35627.7305, device='cuda:0')","tensor(5935985.5000, device='cuda:0')","tensor(0.0150, device='cuda:0')"
"tensor(39674.5195, device='cuda:0')","tensor(8175211., device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(8292.8604, device='cuda:0')","tensor(2971371., device='cuda:0')","tensor(0.0143, device='cuda:0')"
"tensor(30481.0547, device='cuda:0')","tensor(3648660., device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(4553.0273, device='cuda:0')","tensor(874286., device='cuda:0')","tensor(0.0140, device='cuda:0')"
"tensor(24983.5742, device='cuda:0')","tensor(2382542., device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(5189.4360, device='cuda:0')","tensor(1107684.1250, device='cuda:0')","tensor(0.0136, device='cuda:0')"
"tensor(16028.3447, device='cuda:0')","tensor(993852.5625, device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(3052.5220, device='cuda:0')","tensor(373322.1875, device='cuda:0')","tensor(0.0133, device='cuda:0')"
"tensor(9878.1074, device='cuda:0')","tensor(558868.6250, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(2176.4543, device='cuda:0')","tensor(179407.1719, device='cuda:0')","tensor(0.0126, device='cuda:0')"
"tensor(9001.3330, device='cuda:0')","tensor(436661.3125, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(1527.7607, device='cuda:0')","tensor(84142.7969, device='cuda:0')","tensor(0.0120, device='cuda:0')"
"tensor(11303.1250, device='cuda:0')","tensor(220500.3281, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(701.4067, device='cuda:0')","tensor(17138.6641, device='cuda:0')","tensor(0.0116, device='cuda:0')"
"tensor(10464.8350, device='cuda:0')","tensor(212402.3125, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(647.4414, device='cuda:0')","tensor(14289.4590, device='cuda:0')","tensor(0.0113, device='cuda:0')"
"tensor(11336.7832, device='cuda:0')","tensor(206756.3594, device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(701.1296, device='cuda:0')","tensor(16503.2812, device='cuda:0')","tensor(0.0111, device='cuda:0')"
"tensor(11602.6084, device='cuda:0')","tensor(205111., device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(509.1285, device='cuda:0')","tensor(8563.8193, device='cuda:0')","tensor(0.0110, device='cuda:0')"
"tensor(9469.7949, device='cuda:0')","tensor(198094.2188, device='cuda:0')","tensor(0.0037, device='cuda:0')"
"tensor(964.6812, device='cuda:0')","tensor(74586.5312, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(11374.9277, device='cuda:0')","tensor(701423.1250, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(12.3400, device='cuda:0')","tensor(832.0880, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(35632.3672, device='cuda:0')","tensor(6011809., device='cuda:0')","tensor(0.0152, device='cuda:0')"
"tensor(40351.0508, device='cuda:0')","tensor(8335084., device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(8344.5547, device='cuda:0')","tensor(3040365.5000, device='cuda:0')","tensor(0.0145, device='cuda:0')"
"tensor(30220.1172, device='cuda:0')","tensor(3704934., device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(4579.7314, device='cuda:0')","tensor(892137.3750, device='cuda:0')","tensor(0.0141, device='cuda:0')"
"tensor(24799.7402, device='cuda:0')","tensor(2408983.5000, device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(5227.0791, device='cuda:0')","tensor(1126513.8750, device='cuda:0')","tensor(0.0137, device='cuda:0')"
"tensor(15836.6973, device='cuda:0')","tensor(1001170., device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(3082.1389, device='cuda:0')","tensor(380503.9375, device='cuda:0')","tensor(0.0133, device='cuda:0')"
"tensor(9605.5527, device='cuda:0')","tensor(557088.5000, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(2160.5811, device='cuda:0')","tensor(176089.9688, device='cuda:0')","tensor(0.0125, device='cuda:0')"
"tensor(9193.2090, device='cuda:0')","tensor(435945.8750, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(1513.4663, device='cuda:0')","tensor(82591.3984, device='cuda:0')","tensor(0.0120, device='cuda:0')"
"tensor(11442.2021, device='cuda:0')","tensor(220701.6875, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(698.1033, device='cuda:0')","tensor(16968.7988, device='cuda:0')","tensor(0.0115, device='cuda:0')"
"tensor(10264.2891, device='cuda:0')","tensor(212689.2188, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(652.9399, device='cuda:0')","tensor(14443.3320, device='cuda:0')","tensor(0.0112, device='cuda:0')"
"tensor(11350.0312, device='cuda:0')","tensor(206920.9375, device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(697.4676, device='cuda:0')","tensor(16172.0449, device='cuda:0')","tensor(0.0110, device='cuda:0')"
"tensor(11892.0029, device='cuda:0')","tensor(205411.2969, device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(513.5560, device='cuda:0')","tensor(8634.2031, device='cuda:0')","tensor(0.0109, device='cuda:0')"
"tensor(9435.3740, device='cuda:0')","tensor(198375., device='cuda:0')","tensor(0.0037, device='cuda:0')"
"tensor(964.1356, device='cuda:0')","tensor(74494.7891, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(11444.8125, device='cuda:0')","tensor(709997.9375, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(12.0083, device='cuda:0')","tensor(787.9596, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(36177.0938, device='cuda:0')","tensor(6028072.5000, device='cuda:0')","tensor(0.0147, device='cuda:0')"
"tensor(40929.5703, device='cuda:0')","tensor(8344392., device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(8496.6592, device='cuda:0')","tensor(3044450.5000, device='cuda:0')","tensor(0.0140, device='cuda:0')"
"tensor(29539.0352, device='cuda:0')","tensor(3704517., device='cuda:0')","tensor(0.0014, device='cuda:0')"
"tensor(4658.0972, device='cuda:0')","tensor(890174.2500, device='cuda:0')","tensor(0.0136, device='cuda:0')"
"tensor(25163.6172, device='cuda:0')","tensor(2409611., device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(5293.2114, device='cuda:0')","tensor(1122964.7500, device='cuda:0')","tensor(0.0133, device='cuda:0')"
"tensor(15696.7979, device='cuda:0')","tensor(1002902.8750, device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(3128.1479, device='cuda:0')","tensor(382226.7188, device='cuda:0')","tensor(0.0130, device='cuda:0')"
"tensor(10062.2900, device='cuda:0')","tensor(557046.6875, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(2175.3662, device='cuda:0')","tensor(175149.1719, device='cuda:0')","tensor(0.0123, device='cuda:0')"
"tensor(8845.7695, device='cuda:0')","tensor(433782.1875, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(1519.6421, device='cuda:0')","tensor(81783.9375, device='cuda:0')","tensor(0.0117, device='cuda:0')"
"tensor(10910.7197, device='cuda:0')","tensor(218351.9219, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(705.0831, device='cuda:0')","tensor(17026.3809, device='cuda:0')","tensor(0.0114, device='cuda:0')"
"tensor(9896.8604, device='cuda:0')","tensor(210159.4688, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(654.2413, device='cuda:0')","tensor(14320.1367, device='cuda:0')","tensor(0.0111, device='cuda:0')"
"tensor(11119.6992, device='cuda:0')","tensor(204046.4688, device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(696.0245, device='cuda:0')","tensor(16051.2246, device='cuda:0')","tensor(0.0110, device='cuda:0')"
"tensor(11222.5781, device='cuda:0')","tensor(201705.7500, device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(510.4500, device='cuda:0')","tensor(8505.9434, device='cuda:0')","tensor(0.0108, device='cuda:0')"
"tensor(8842.3330, device='cuda:0')","tensor(194663.5938, device='cuda:0')","tensor(0.0041, device='cuda:0')"
"tensor(949.6152, device='cuda:0')","tensor(72283.0469, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(11420.7930, device='cuda:0')","tensor(707169.7500, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(12.4581, device='cuda:0')","tensor(848.0875, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(35671.6250, device='cuda:0')","tensor(6108868.5000, device='cuda:0')","tensor(0.0154, device='cuda:0')"
"tensor(39891.9570, device='cuda:0')","tensor(8402976., device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(8363.8789, device='cuda:0')","tensor(3075236.5000, device='cuda:0')","tensor(0.0146, device='cuda:0')"
"tensor(30291.4785, device='cuda:0')","tensor(3734749.7500, device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(4571.4995, device='cuda:0')","tensor(896506.3750, device='cuda:0')","tensor(0.0142, device='cuda:0')"
"tensor(24756.9121, device='cuda:0')","tensor(2431803.7500, device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(5202.8403, device='cuda:0')","tensor(1130623.3750, device='cuda:0')","tensor(0.0139, device='cuda:0')"
"tensor(15749.7754, device='cuda:0')","tensor(1005652.8750, device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(3068.2327, device='cuda:0')","tensor(383475.9375, device='cuda:0')","tensor(0.0135, device='cuda:0')"
"tensor(9873.9170, device='cuda:0')","tensor(560442., device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(2138.7424, device='cuda:0')","tensor(176137.5625, device='cuda:0')","tensor(0.0128, device='cuda:0')"
