iteration,original_grad_norm,regularized_grad_norm
172,"tensor(2.0520, device='cuda:0')","tensor(8.6664, device='cuda:0')"
173,"tensor(1.7183, device='cuda:0')","tensor(10.0093, device='cuda:0')"
174,"tensor(2.9704, device='cuda:0')","tensor(10.4850, device='cuda:0')"
175,"tensor(2.8554, device='cuda:0')","tensor(10.6922, device='cuda:0')"
176,"tensor(3.6289, device='cuda:0')","tensor(12.5644, device='cuda:0')"
177,"tensor(2.9520, device='cuda:0')","tensor(12.3942, device='cuda:0')"
178,"tensor(3.0002, device='cuda:0')","tensor(15.6685, device='cuda:0')"
179,"tensor(2.5707, device='cuda:0')","tensor(14.4382, device='cuda:0')"
180,"tensor(1.5935, device='cuda:0')","tensor(14.8985, device='cuda:0')"
181,"tensor(1.6298, device='cuda:0')","tensor(9.9839, device='cuda:0')"
182,"tensor(1.5276, device='cuda:0')","tensor(13.7097, device='cuda:0')"
183,"tensor(1.5156, device='cuda:0')","tensor(11.7890, device='cuda:0')"
184,"tensor(1.6376, device='cuda:0')","tensor(12.0411, device='cuda:0')"
185,"tensor(2.1031, device='cuda:0')","tensor(12.4696, device='cuda:0')"
186,"tensor(2.1607, device='cuda:0')","tensor(26.5782, device='cuda:0')"
187,"tensor(2.6283, device='cuda:0')","tensor(25.3048, device='cuda:0')"
188,"tensor(2.4119, device='cuda:0')","tensor(23.8057, device='cuda:0')"
189,"tensor(2.6100, device='cuda:0')","tensor(23.1582, device='cuda:0')"
190,"tensor(3.0753, device='cuda:0')","tensor(25.4616, device='cuda:0')"
191,"tensor(3.9279, device='cuda:0')","tensor(12.7269, device='cuda:0')"
192,"tensor(4.5959, device='cuda:0')","tensor(13.5645, device='cuda:0')"
193,"tensor(4.3557, device='cuda:0')","tensor(13.1473, device='cuda:0')"
194,"tensor(4.9057, device='cuda:0')","tensor(16.3942, device='cuda:0')"
195,"tensor(4.0664, device='cuda:0')","tensor(13.9272, device='cuda:0')"
196,"tensor(3.2437, device='cuda:0')","tensor(13.0402, device='cuda:0')"
197,"tensor(3.2981, device='cuda:0')","tensor(12.9934, device='cuda:0')"
198,"tensor(3.6203, device='cuda:0')","tensor(14.2256, device='cuda:0')"
199,"tensor(3.6334, device='cuda:0')","tensor(14.3053, device='cuda:0')"
200,"tensor(2.8578, device='cuda:0')","tensor(14.0623, device='cuda:0')"
201,"tensor(2.8007, device='cuda:0')","tensor(9.7649, device='cuda:0')"
202,"tensor(2.4379, device='cuda:0')","tensor(11.4451, device='cuda:0')"
203,"tensor(2.9425, device='cuda:0')","tensor(11.7118, device='cuda:0')"
204,"tensor(2.8095, device='cuda:0')","tensor(11.9527, device='cuda:0')"
205,"tensor(2.8006, device='cuda:0')","tensor(12.4547, device='cuda:0')"
206,"tensor(3.0119, device='cuda:0')","tensor(14.1287, device='cuda:0')"
207,"tensor(2.5874, device='cuda:0')","tensor(13.7436, device='cuda:0')"
208,"tensor(2.7300, device='cuda:0')","tensor(14.8709, device='cuda:0')"
209,"tensor(1.5782, device='cuda:0')","tensor(14.2964, device='cuda:0')"
210,"tensor(2.9012, device='cuda:0')","tensor(27.5180, device='cuda:0')"
211,"tensor(3.4125, device='cuda:0')","tensor(12.5882, device='cuda:0')"
212,"tensor(2.6938, device='cuda:0')","tensor(11.8218, device='cuda:0')"
213,"tensor(3.8639, device='cuda:0')","tensor(12.8948, device='cuda:0')"
214,"tensor(4.7298, device='cuda:0')","tensor(13.5475, device='cuda:0')"
215,"tensor(4.3089, device='cuda:0')","tensor(12.6063, device='cuda:0')"
216,"tensor(4.8702, device='cuda:0')","tensor(13.1874, device='cuda:0')"
217,"tensor(6.4683, device='cuda:0')","tensor(22.2151, device='cuda:0')"
218,"tensor(5.4884, device='cuda:0')","tensor(20.6772, device='cuda:0')"
219,"tensor(6.1063, device='cuda:0')","tensor(23.7574, device='cuda:0')"
220,"tensor(6.6481, device='cuda:0')","tensor(30.1326, device='cuda:0')"
221,"tensor(6.1120, device='cuda:0')","tensor(14.2544, device='cuda:0')"
222,"tensor(4.9022, device='cuda:0')","tensor(12.5287, device='cuda:0')"
223,"tensor(3.3418, device='cuda:0')","tensor(12.4071, device='cuda:0')"
224,"tensor(3.0273, device='cuda:0')","tensor(13.7638, device='cuda:0')"
225,"tensor(2.3108, device='cuda:0')","tensor(12.7588, device='cuda:0')"
226,"tensor(2.1229, device='cuda:0')","tensor(13.2765, device='cuda:0')"
227,"tensor(2.8470, device='cuda:0')","tensor(13.5720, device='cuda:0')"
228,"tensor(3.4668, device='cuda:0')","tensor(15.8102, device='cuda:0')"
229,"tensor(3.8937, device='cuda:0')","tensor(17.7488, device='cuda:0')"
230,"tensor(3.4278, device='cuda:0')","tensor(15.6689, device='cuda:0')"
231,"tensor(5.0356, device='cuda:0')","tensor(9.8779, device='cuda:0')"
