pi,trace(a),trace(g)
"tensor(4896.0215, device='cuda:0')","tensor(1136473.2500, device='cuda:0')","tensor(0.0157, device='cuda:0')"
"tensor(14589.2939, device='cuda:0')","tensor(995490.7500, device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(2861.2190, device='cuda:0')","tensor(378159.1875, device='cuda:0')","tensor(0.0153, device='cuda:0')"
"tensor(9193.5977, device='cuda:0')","tensor(556892.2500, device='cuda:0')","tensor(0.0022, device='cuda:0')"
"tensor(1998.7014, device='cuda:0')","tensor(170484.6094, device='cuda:0')","tensor(0.0142, device='cuda:0')"
"tensor(8219.6787, device='cuda:0')","tensor(435614.3750, device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(1437.3977, device='cuda:0')","tensor(82579.0469, device='cuda:0')","tensor(0.0133, device='cuda:0')"
"tensor(9196.1201, device='cuda:0')","tensor(218744.6875, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(675.9695, device='cuda:0')","tensor(17018.6836, device='cuda:0')","tensor(0.0124, device='cuda:0')"
"tensor(10127.7178, device='cuda:0')","tensor(210607.2344, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(629.3873, device='cuda:0')","tensor(14307., device='cuda:0')","tensor(0.0120, device='cuda:0')"
"tensor(8878.7725, device='cuda:0')","tensor(204467.7812, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(693.8504, device='cuda:0')","tensor(16623.4941, device='cuda:0')","tensor(0.0115, device='cuda:0')"
"tensor(10061.8701, device='cuda:0')","tensor(201634.4688, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(501.7359, device='cuda:0')","tensor(8563.6543, device='cuda:0')","tensor(0.0113, device='cuda:0')"
"tensor(8362.1143, device='cuda:0')","tensor(194496., device='cuda:0')","tensor(0.0046, device='cuda:0')"
"tensor(956.3813, device='cuda:0')","tensor(73599.8672, device='cuda:0')","tensor(0.0268, device='cuda:0')"
"tensor(11202.2061, device='cuda:0')","tensor(682986.2500, device='cuda:0')","tensor(0.0268, device='cuda:0')"
"tensor(21.9367, device='cuda:0')","tensor(2629.5537, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(33501.7109, device='cuda:0')","tensor(6131791., device='cuda:0')","tensor(0.0175, device='cuda:0')"
"tensor(36729.5820, device='cuda:0')","tensor(8418801., device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(7829.0405, device='cuda:0')","tensor(3080750., device='cuda:0')","tensor(0.0167, device='cuda:0')"
"tensor(27558.5781, device='cuda:0')","tensor(3735823.7500, device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(4273.4995, device='cuda:0')","tensor(892583.6250, device='cuda:0')","tensor(0.0162, device='cuda:0')"
"tensor(22624., device='cuda:0')","tensor(2428633.5000, device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(4893.8145, device='cuda:0')","tensor(1135524.5000, device='cuda:0')","tensor(0.0157, device='cuda:0')"
"tensor(13869.6484, device='cuda:0')","tensor(995716.2500, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(2866.3403, device='cuda:0')","tensor(379455., device='cuda:0')","tensor(0.0153, device='cuda:0')"
"tensor(8753.1396, device='cuda:0')","tensor(553858.8750, device='cuda:0')","tensor(0.0024, device='cuda:0')"
"tensor(1990.3517, device='cuda:0')","tensor(169148.4531, device='cuda:0')","tensor(0.0142, device='cuda:0')"
"tensor(7981.2568, device='cuda:0')","tensor(432266.3125, device='cuda:0')","tensor(0.0023, device='cuda:0')"
"tensor(1438.3101, device='cuda:0')","tensor(81983.6719, device='cuda:0')","tensor(0.0131, device='cuda:0')"
"tensor(8835.9668, device='cuda:0')","tensor(216067.0938, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(665.6819, device='cuda:0')","tensor(16512.4570, device='cuda:0')","tensor(0.0124, device='cuda:0')"
"tensor(9145.3584, device='cuda:0')","tensor(208065.4531, device='cuda:0')","tensor(0.0008, device='cuda:0')"
"tensor(624.5576, device='cuda:0')","tensor(14147.3750, device='cuda:0')","tensor(0.0120, device='cuda:0')"
"tensor(9466.4971, device='cuda:0')","tensor(201983., device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(678.1436, device='cuda:0')","tensor(16291.3809, device='cuda:0')","tensor(0.0117, device='cuda:0')"
"tensor(9963.4697, device='cuda:0')","tensor(199342.7812, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(489.6530, device='cuda:0')","tensor(8349.3662, device='cuda:0')","tensor(0.0115, device='cuda:0')"
"tensor(8191.8584, device='cuda:0')","tensor(192205., device='cuda:0')","tensor(0.0047, device='cuda:0')"
"tensor(945.8429, device='cuda:0')","tensor(72178.9219, device='cuda:0')","tensor(0.0269, device='cuda:0')"
"tensor(11157.8555, device='cuda:0')","tensor(679397.3750, device='cuda:0')","tensor(0.0269, device='cuda:0')"
"tensor(19.0143, device='cuda:0')","tensor(1975.5988, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(32726.3418, device='cuda:0')","tensor(6192569., device='cuda:0')","tensor(0.0185, device='cuda:0')"
"tensor(36181.4453, device='cuda:0')","tensor(8457860., device='cuda:0')","tensor(0.0021, device='cuda:0')"
"tensor(7622.4341, device='cuda:0')","tensor(3095878.5000, device='cuda:0')","tensor(0.0177, device='cuda:0')"
"tensor(27967.5586, device='cuda:0')","tensor(3767103.5000, device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(4161.1187, device='cuda:0')","tensor(898437.5000, device='cuda:0')","tensor(0.0172, device='cuda:0')"
"tensor(21948.8301, device='cuda:0')","tensor(2453200.5000, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(4776.6426, device='cuda:0')","tensor(1144445.2500, device='cuda:0')","tensor(0.0166, device='cuda:0')"
"tensor(13483.7930, device='cuda:0')","tensor(1003598.1875, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(2801.4600, device='cuda:0')","tensor(381939.1875, device='cuda:0')","tensor(0.0161, device='cuda:0')"
"tensor(8502.0244, device='cuda:0')","tensor(560311., device='cuda:0')","tensor(0.0026, device='cuda:0')"
