iteration,original_grad_norm,regularized_grad_norm
210,"tensor(5.0545, device='cuda:0')","tensor(41.4605, device='cuda:0')"
211,"tensor(5.3810, device='cuda:0')","tensor(15.2747, device='cuda:0')"
212,"tensor(5.0473, device='cuda:0')","tensor(16.2372, device='cuda:0')"
213,"tensor(6.6235, device='cuda:0')","tensor(18.5119, device='cuda:0')"
214,"tensor(8.9928, device='cuda:0')","tensor(21.8551, device='cuda:0')"
215,"tensor(7.6095, device='cuda:0')","tensor(19.6066, device='cuda:0')"
216,"tensor(8.1048, device='cuda:0')","tensor(20.5425, device='cuda:0')"
217,"tensor(9.7980, device='cuda:0')","tensor(34.1392, device='cuda:0')"
218,"tensor(8.8262, device='cuda:0')","tensor(29.9509, device='cuda:0')"
219,"tensor(8.7966, device='cuda:0')","tensor(36.0798, device='cuda:0')"
220,"tensor(8.2708, device='cuda:0')","tensor(48.6250, device='cuda:0')"
221,"tensor(6.4683, device='cuda:0')","tensor(16.7991, device='cuda:0')"
222,"tensor(5.1152, device='cuda:0')","tensor(13.9029, device='cuda:0')"
223,"tensor(3.0831, device='cuda:0')","tensor(14.6029, device='cuda:0')"
224,"tensor(2.3124, device='cuda:0')","tensor(16.3776, device='cuda:0')"
225,"tensor(3.4860, device='cuda:0')","tensor(16.4586, device='cuda:0')"
226,"tensor(3.7989, device='cuda:0')","tensor(19.5845, device='cuda:0')"
227,"tensor(5.6054, device='cuda:0')","tensor(21.6578, device='cuda:0')"
228,"tensor(6.4153, device='cuda:0')","tensor(26.1532, device='cuda:0')"
229,"tensor(6.2470, device='cuda:0')","tensor(28.3945, device='cuda:0')"
230,"tensor(5.0239, device='cuda:0')","tensor(23.3760, device='cuda:0')"
231,"tensor(7.1407, device='cuda:0')","tensor(11.9205, device='cuda:0')"
232,"tensor(6.1384, device='cuda:0')","tensor(13.0466, device='cuda:0')"
233,"tensor(7.8759, device='cuda:0')","tensor(15.6990, device='cuda:0')"
234,"tensor(10.2888, device='cuda:0')","tensor(84.6176, device='cuda:0')"
235,"tensor(7.4045, device='cuda:0')","tensor(54.2873, device='cuda:0')"
236,"tensor(6.9632, device='cuda:0')","tensor(48.0441, device='cuda:0')"
237,"tensor(4.7415, device='cuda:0')","tensor(40.6828, device='cuda:0')"
238,"tensor(3.6101, device='cuda:0')","tensor(37.5431, device='cuda:0')"
239,"tensor(3.2580, device='cuda:0')","tensor(35.4540, device='cuda:0')"
240,"tensor(3.1763, device='cuda:0')","tensor(37.0198, device='cuda:0')"
241,"tensor(3.4100, device='cuda:0')","tensor(12.2975, device='cuda:0')"
242,"tensor(2.7644, device='cuda:0')","tensor(14.0574, device='cuda:0')"
243,"tensor(3.1142, device='cuda:0')","tensor(14.8441, device='cuda:0')"
244,"tensor(3.4378, device='cuda:0')","tensor(18.0833, device='cuda:0')"
245,"tensor(2.6660, device='cuda:0')","tensor(21.6723, device='cuda:0')"
246,"tensor(1.6198, device='cuda:0')","tensor(23.2403, device='cuda:0')"
247,"tensor(3.7555, device='cuda:0')","tensor(21.9934, device='cuda:0')"
248,"tensor(5.0298, device='cuda:0')","tensor(27.4187, device='cuda:0')"
249,"tensor(4.4968, device='cuda:0')","tensor(28.2819, device='cuda:0')"
