iteration,original_grad_norm,regularized_grad_norm
154,"tensor(6.4135, device='cuda:0')","tensor(49.2981, device='cuda:0')"
155,"tensor(7.0385, device='cuda:0')","tensor(55.4279, device='cuda:0')"
156,"tensor(5.0243, device='cuda:0')","tensor(43.6744, device='cuda:0')"
157,"tensor(10.2394, device='cuda:0')","tensor(53.6260, device='cuda:0')"
158,"tensor(4.6998, device='cuda:0')","tensor(49.2041, device='cuda:0')"
159,"tensor(5.7456, device='cuda:0')","tensor(61.2473, device='cuda:0')"
160,"tensor(5.0902, device='cuda:0')","tensor(61.4524, device='cuda:0')"
161,"tensor(3.5276, device='cuda:0')","tensor(25.7967, device='cuda:0')"
162,"tensor(7.8175, device='cuda:0')","tensor(86.0479, device='cuda:0')"
163,"tensor(9.4781, device='cuda:0')","tensor(82.2611, device='cuda:0')"
164,"tensor(6.6474, device='cuda:0')","tensor(69.3975, device='cuda:0')"
165,"tensor(7.2274, device='cuda:0')","tensor(61.5409, device='cuda:0')"
166,"tensor(5.9025, device='cuda:0')","tensor(61.8150, device='cuda:0')"
167,"tensor(16.1913, device='cuda:0')","tensor(151.6121, device='cuda:0')"
168,"tensor(6.5189, device='cuda:0')","tensor(71.2973, device='cuda:0')"
169,"tensor(3.9996, device='cuda:0')","tensor(45.1408, device='cuda:0')"
170,"tensor(5.3374, device='cuda:0')","tensor(66.8798, device='cuda:0')"
171,"tensor(4.9648, device='cuda:0')","tensor(18.3923, device='cuda:0')"
172,"tensor(5.8038, device='cuda:0')","tensor(23.9677, device='cuda:0')"
173,"tensor(6.5189, device='cuda:0')","tensor(29.1500, device='cuda:0')"
174,"tensor(7.4007, device='cuda:0')","tensor(27.1799, device='cuda:0')"
175,"tensor(7.4071, device='cuda:0')","tensor(31.1975, device='cuda:0')"
176,"tensor(7.0531, device='cuda:0')","tensor(33.2146, device='cuda:0')"
177,"tensor(5.7163, device='cuda:0')","tensor(30.3655, device='cuda:0')"
178,"tensor(4.8154, device='cuda:0')","tensor(40.2322, device='cuda:0')"
179,"tensor(2.7139, device='cuda:0')","tensor(35.9223, device='cuda:0')"
180,"tensor(3.7757, device='cuda:0')","tensor(39.3329, device='cuda:0')"
181,"tensor(4.0277, device='cuda:0')","tensor(19.3796, device='cuda:0')"
182,"tensor(4.4001, device='cuda:0')","tensor(27.9971, device='cuda:0')"
183,"tensor(3.5998, device='cuda:0')","tensor(21.8447, device='cuda:0')"
184,"tensor(4.7198, device='cuda:0')","tensor(24.8960, device='cuda:0')"
185,"tensor(3.9208, device='cuda:0')","tensor(26.9861, device='cuda:0')"
186,"tensor(4.9995, device='cuda:0')","tensor(53.8585, device='cuda:0')"
187,"tensor(12.2303, device='cuda:0')","tensor(78.2821, device='cuda:0')"
188,"tensor(3.7811, device='cuda:0')","tensor(45.9404, device='cuda:0')"
189,"tensor(3.5316, device='cuda:0')","tensor(47.4445, device='cuda:0')"
190,"tensor(9.8002, device='cuda:0')","tensor(70.8572, device='cuda:0')"
191,"tensor(4.9793, device='cuda:0')","tensor(19.6737, device='cuda:0')"
192,"tensor(5.6986, device='cuda:0')","tensor(21.0410, device='cuda:0')"
193,"tensor(6.7980, device='cuda:0')","tensor(26.7300, device='cuda:0')"
194,"tensor(8.6058, device='cuda:0')","tensor(32.9586, device='cuda:0')"
195,"tensor(6.7981, device='cuda:0')","tensor(28.1593, device='cuda:0')"
196,"tensor(6.3518, device='cuda:0')","tensor(34.6610, device='cuda:0')"
197,"tensor(6.2723, device='cuda:0')","tensor(35.8175, device='cuda:0')"
198,"tensor(11.3486, device='cuda:0')","tensor(44.5437, device='cuda:0')"
199,"tensor(9.2168, device='cuda:0')","tensor(40.6382, device='cuda:0')"
200,"tensor(5.2991, device='cuda:0')","tensor(42.4189, device='cuda:0')"
201,"tensor(9.2708, device='cuda:0')","tensor(22.9246, device='cuda:0')"
202,"tensor(4.4106, device='cuda:0')","tensor(27.6398, device='cuda:0')"
203,"tensor(5.9889, device='cuda:0')","tensor(30.7625, device='cuda:0')"
204,"tensor(6.3528, device='cuda:0')","tensor(32.4619, device='cuda:0')"
205,"tensor(6.5886, device='cuda:0')","tensor(34.7522, device='cuda:0')"
206,"tensor(7.1348, device='cuda:0')","tensor(39.3419, device='cuda:0')"
207,"tensor(8.9402, device='cuda:0')","tensor(44.4574, device='cuda:0')"
208,"tensor(11.4486, device='cuda:0')","tensor(66.6278, device='cuda:0')"
209,"tensor(11.7411, device='cuda:0')","tensor(73.7694, device='cuda:0')"
210,"tensor(15.2141, device='cuda:0')","tensor(102.5131, device='cuda:0')"
211,"tensor(12.5202, device='cuda:0')","tensor(31.2406, device='cuda:0')"
212,"tensor(15.3594, device='cuda:0')","tensor(38.6013, device='cuda:0')"
213,"tensor(18.8892, device='cuda:0')","tensor(43.5929, device='cuda:0')"
214,"tensor(20.1506, device='cuda:0')","tensor(53.0656, device='cuda:0')"
215,"tensor(14.3918, device='cuda:0')","tensor(45.0024, device='cuda:0')"
216,"tensor(15.4372, device='cuda:0')","tensor(51.9166, device='cuda:0')"
217,"tensor(21.4869, device='cuda:0')","tensor(101.3820, device='cuda:0')"
218,"tensor(13.3537, device='cuda:0')","tensor(73.5327, device='cuda:0')"
219,"tensor(11.5793, device='cuda:0')","tensor(77.2874, device='cuda:0')"
220,"tensor(10.5581, device='cuda:0')","tensor(89.8793, device='cuda:0')"
221,"tensor(7.1514, device='cuda:0')","tensor(27.0020, device='cuda:0')"
222,"tensor(6.6597, device='cuda:0')","tensor(26.2436, device='cuda:0')"
223,"tensor(9.8160, device='cuda:0')","tensor(41.2028, device='cuda:0')"
224,"tensor(11.1357, device='cuda:0')","tensor(49.9285, device='cuda:0')"
225,"tensor(13.7830, device='cuda:0')","tensor(52.6815, device='cuda:0')"
226,"tensor(14.2175, device='cuda:0')","tensor(66.2126, device='cuda:0')"
227,"tensor(16.1235, device='cuda:0')","tensor(75.7325, device='cuda:0')"
228,"tensor(11.5740, device='cuda:0')","tensor(76.4338, device='cuda:0')"
229,"tensor(4.6423, device='cuda:0')","tensor(68.9930, device='cuda:0')"
230,"tensor(4.7997, device='cuda:0')","tensor(74.0462, device='cuda:0')"
231,"tensor(9.3728, device='cuda:0')","tensor(17.3132, device='cuda:0')"
232,"tensor(10.6315, device='cuda:0')","tensor(23.0540, device='cuda:0')"
233,"tensor(16.8854, device='cuda:0')","tensor(28.5815, device='cuda:0')"
234,"tensor(30.7911, device='cuda:0')","tensor(187.0704, device='cuda:0')"
235,"tensor(11.7948, device='cuda:0')","tensor(69.6660, device='cuda:0')"
236,"tensor(12.4678, device='cuda:0')","tensor(72.7719, device='cuda:0')"
237,"tensor(5.0903, device='cuda:0')","tensor(59.2545, device='cuda:0')"
238,"tensor(9.1854, device='cuda:0')","tensor(72.1885, device='cuda:0')"
239,"tensor(5.2187, device='cuda:0')","tensor(60.1514, device='cuda:0')"
240,"tensor(5.7217, device='cuda:0')","tensor(62.0960, device='cuda:0')"
241,"tensor(7.2791, device='cuda:0')","tensor(19.5692, device='cuda:0')"
242,"tensor(7.3332, device='cuda:0')","tensor(28.5319, device='cuda:0')"
243,"tensor(7.6250, device='cuda:0')","tensor(29.5682, device='cuda:0')"
