iteration,original_grad_norm,regularized_grad_norm,target_norm,input_norm,new_input_norm,old_input_norm,bound_norm,scale,regul,deg_f
46,0.08291809260845184,0.622065007686615,93684.4453125,13.042479515075684,13.042479515075684,0.0,415.6921938165305,0.1,0.001,5.0
47,17.85004997253418,8.488137245178223,1226.4827880859375,595.8233642578125,595.8233642578125,0.0,415.6921938165305,0.1,0.001,5.0
48,29.356035232543945,16.828929901123047,25.50413703918457,353.7165832519531,353.7165832519531,0.0,415.6921938165305,0.1,0.001,5.0
49,422.4560546875,5.016214370727539,1289.5615234375,111460.6640625,111460.6640625,0.0,415.6921938165305,0.1,0.001,5.0
50,0.1476520597934723,1.3909010887145996,2173.83544921875,3.5165390968322754,3.5165390968322754,0.0,415.6921938165305,0.1,0.001,5.0
51,6.11567497253418,7.68899393081665,732.3349609375,143.7254180908203,143.7254180908203,0.0,415.6921938165305,0.1,0.001,5.0
1,0.4013669788837433,0.8283151388168335,3589.150634765625,108.89959716796875,108.89959716796875,0.0,415.6921938165305,0.1,0.001,5.0
2,2.528353214263916,21.83100128173828,11.749156951904297,0.3475283980369568,0.3475283980369568,0.0,415.6921938165305,0.1,0.001,5.0
3,3.9762558937072754,33.48152542114258,0.604154109954834,2.4979631900787354,2.4979631900787354,0.0,415.6921938165305,0.1,0.001,5.0
4,2.027475595474243,19.85663604736328,21.008241653442383,4.495630264282227,4.495630264282227,0.0,415.6921938165305,0.1,0.001,5.0
5,3.2496252059936523,9.220362663269043,298.828857421875,79.86966705322266,79.86966705322266,0.0,415.6921938165305,0.1,0.001,5.0
6,1.651029348373413,2.0160489082336426,2146.184326171875,111.96114349365234,111.96114349365234,0.0,415.6921938165305,0.1,0.001,5.0
7,0.03798849508166313,0.3313574492931366,32365.921875,5.593947887420654,5.593947887420654,0.0,415.6921938165305,0.1,0.001,5.0
8,0.14367780089378357,1.1787976026535034,1768.3385009765625,0.49747875332832336,0.49747875332832336,0.0,415.6921938165305,0.1,0.001,5.0
9,3.1723971366882324,6.45060920715332,406.16009521484375,111.95600891113281,111.95600891113281,0.0,415.6921938165305,0.1,0.001,5.0
10,3.608214855194092,35.3577766418457,2.575371503829956,2.368156909942627,2.368156909942627,0.0,415.6921938165305,0.1,0.001,5.0
11,8.816959381103516,0.11369339376688004,106823.34375,21627.947265625,21627.947265625,0.0,415.6921938165305,0.1,0.001,5.0
12,0.4953354299068451,3.313950300216675,2274.5478515625,24.975208282470703,24.975208282470703,0.0,415.6921938165305,0.1,0.001,5.0
13,43.621307373046875,0.22945867478847504,39578.36328125,59396.75,59396.75,0.0,415.6921938165305,0.1,0.001,5.0
14,3.5344350337982178,23.193653106689453,0.3106025457382202,1.113273024559021,1.113273024559021,0.0,415.6921938165305,0.1,0.001,5.0
