iteration,original_grad_norm,regularized_grad_norm,error_norm,input_norm,new_input_norm,old_input_norm,bound_norm
31,2.5923140048980713,7.228861331939697,57.87328338623047,98.33174896240234,98.33174896240234,0.0,415.6921938165305
32,2.793389320373535,6.225961208343506,60.61336135864258,107.01618194580078,107.01618194580078,0.0,415.6921938165305
33,1.581196904182434,5.551675796508789,58.923580169677734,106.26577758789062,106.26577758789062,0.0,415.6921938165305
34,2.247215986251831,5.823729038238525,59.456268310546875,114.61600494384766,114.61600494384766,0.0,415.6921938165305
35,2.958472728729248,6.512105464935303,66.59208679199219,115.22811126708984,115.22811126708984,0.0,415.6921938165305
36,1.4752869606018066,6.218552112579346,59.84668731689453,117.17259979248047,117.17259979248047,0.0,415.6921938165305
37,1.7052583694458008,6.737842559814453,61.95892333984375,122.303955078125,122.303955078125,0.0,415.6921938165305
38,2.8474509716033936,5.960538864135742,70.98075866699219,122.64048767089844,122.64048767089844,0.0,415.6921938165305
39,2.943282127380371,5.210659980773926,65.02572631835938,133.0022735595703,133.0022735595703,0.0,415.6921938165305
40,1.5163861513137817,6.302577495574951,68.05380249023438,135.31649780273438,135.31649780273438,0.0,415.6921938165305
41,4.831875324249268,5.846020698547363,78.96363830566406,134.51878356933594,134.51878356933594,0.0,415.6921938165305
42,2.7595996856689453,5.572259902954102,74.49653625488281,145.4359893798828,145.4359893798828,0.0,415.6921938165305
43,2.3191113471984863,5.864398002624512,75.5156021118164,142.44325256347656,142.44325256347656,0.0,415.6921938165305
44,2.23776912689209,5.21483039855957,79.49054718017578,145.44473266601562,145.44473266601562,0.0,415.6921938165305
45,3.082818031311035,5.551178932189941,85.3945083618164,149.05638122558594,149.05638122558594,0.0,415.6921938165305
46,2.7750906944274902,5.204113483428955,77.8043441772461,151.99264526367188,151.99264526367188,0.0,415.6921938165305
47,1.857482671737671,5.4416704177856445,80.3995132446289,157.07814025878906,157.07814025878906,0.0,415.6921938165305
48,2.43660306930542,5.185949325561523,89.93096923828125,160.5612030029297,160.5612030029297,0.0,415.6921938165305
49,2.993495464324951,4.593938827514648,85.57704162597656,164.3690185546875,164.3690185546875,0.0,415.6921938165305
50,3.552834987640381,4.4858880043029785,93.0533676147461,163.6111602783203,163.6111602783203,0.0,415.6921938165305
51,2.6065292358398438,5.157749176025391,92.17658996582031,168.50717163085938,168.50717163085938,0.0,415.6921938165305
52,2.773005485534668,5.492236614227295,99.67710876464844,177.38970947265625,177.38970947265625,0.0,415.6921938165305
53,4.014188289642334,3.956792116165161,92.64934539794922,172.9050750732422,172.9050750732422,0.0,415.6921938165305
54,4.851901531219482,4.46464204788208,100.5693359375,176.93350219726562,176.93350219726562,0.0,415.6921938165305
55,1.9549214839935303,4.29061222076416,90.28787231445312,181.17446899414062,181.17446899414062,0.0,415.6921938165305
56,2.720889091491699,4.193324089050293,96.4134292602539,186.47947692871094,186.47947692871094,0.0,415.6921938165305
57,3.933990478515625,4.235147953033447,98.86548614501953,187.92042541503906,187.92042541503906,0.0,415.6921938165305
